Senator/Rep,Party,113-1,113-2,113-3,113-4,113-5,113-6,113-7,113-8,113-9,113-10,113-11,113-12,113-13,113-14,113-15,113-16,113-17,113-18,113-19,113-20,113-21,113-22,113-23,113-24,113-25,113-26,113-27,113-28,113-29,113-30,113-31,113-32,113-33,113-34,113-35,113-36,113-37,113-38,113-39,113-40,113-41,113-42,114-43,114-44,114-45,114-46,114-47,114-48,113-49,113-50,113-51,113-52,113-53,113-54,113-55,113-56,113-57,113-58,113-59,113-60,113-61,113-62,113-63,113-64,113-65,113-66,113-67,113-68,113-69,113-70,113-71,113-72,113-73,113-74,113-75,113-76,113-77,113-78,113-79,113-80,113-81,113-82,113-83,113-84,113-85,113-86
"Rep Garrett, Scott",R,1,,,,,,,,,,Exluded – inconsequential,Excluded – inconsequential,,,,Excluded – inconsequential,,Excluded – stupid,,,excluded- inconsequential,Excluded-stupid,,Excluded-stupid,,,,,,,Excluded-stupid,,,,,,,,,,,,,,,,,,Excluded-stupid,,,,,,,,,Excluded,,Excluded,,,,,,,,,,,,,,,excluded,,,,,,,,,,,
"Rep Andrews, Robert",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rep Bishop, Tim",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rep Clarke, Yvette",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rep Collins, Chris",R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Rep Courtney, Joe",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rep Crowley, Joe",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Rep DeLauro, Rosa",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rep Engel, Eliot",D,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
"Rep Esty, Elizabeth",D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
